FID,IID,SOL,C1,C2,C3,C4
CEU,1,0,0.0384912,-0.078681,-0.0158355,-0.00475739
CEU,2,0,0.0391629,-0.0798649,-0.0165355,-0.00833305
CEU,3,0,0.0378103,-0.0803986,-0.0166598,-0.0052538
CEU,4,0,0.0365771,-0.0791699,-0.0144323,-0.00475753
CEU,7,0,0.0385818,-0.0782991,-0.0182418,-0.00706961
CEU,9,0,0.036846,-0.0798538,-0.0195079,-0.00573902
CEU,10,0,0.0383854,-0.0810303,-0.0153062,-0.00763813
CEU,11,0,0.0368934,-0.0807757,-0.0192645,-0.004129
CEU,14,0,0.0369447,-0.0803119,-0.0166297,-0.00588497
CEU,15,0,0.0386424,-0.0800082,-0.0171647,-0.00488737
CEU,17,0,0.0378959,-0.0820313,-0.0171468,-0.00437504
CEU,18,0,0.0370934,-0.080279,-0.015507,-0.00730467
CEU,20,0,0.036732,-0.0802521,-0.016679,-0.00326402
CEU,21,0,0.0379774,-0.0818414,-0.0154493,-0.0065097
CEU,23,0,0.0357724,-0.0804484,-0.0148071,-0.00549168
CEU,24,0,0.0377158,-0.0804146,-0.0152676,-0.00638068
CEU,25,0,0.0378671,-0.0798792,-0.0132887,-0.00521801
CEU,26,0,0.0382653,-0.0781333,-0.0170135,-0.00625547
CEU,28,0,0.0380078,-0.0782878,-0.0166276,-0.0052863
CEU,32,0,0.0370383,-0.0784242,-0.0133918,-0.00615193
CEU,33,0,0.0371148,-0.0786968,-0.0165967,-0.0061789
CEU,34,0,0.0376667,-0.0796369,-0.0186263,-0.00416122
CEU,35,0,0.0384144,-0.0813821,-0.0183111,-0.00668892
CEU,36,0,0.0370856,-0.078685,-0.0175201,-0.00517168
CEU,37,0,0.0362511,-0.0787286,-0.0167278,-0.00515268
CEU,38,0,0.0375823,-0.0801288,-0.016661,-0.00408156
CEU,39,0,0.037706,-0.0800078,-0.0160503,-0.00461621
CEU,40,0,0.0372319,-0.0816524,-0.0217213,-0.00784032
CEU,41,0,0.0374751,-0.0805165,-0.0173312,-0.00717726
CEU,44,0,0.0378815,-0.0804365,-0.016341,-0.00671417
CEU,46,0,0.037234,-0.0793773,-0.0160623,-0.00380446
CEU,48,0,0.0382047,-0.0810716,-0.0198885,-0.00685589
CEU,50,0,0.0374279,-0.07816,-0.0155067,-0.00481238
CEU,51,0,0.038185,-0.0793349,-0.0164667,-0.00758054
CEU,52,0,0.036709,-0.0796127,-0.0162639,-0.00575431
CEU,53,0,0.0364671,-0.081645,-0.0180747,-0.0051022
CEU,54,0,0.0358809,-0.0813266,-0.0149565,-0.00244958
CEU,55,0,0.0380574,-0.0804902,-0.0158945,-0.00555425
CEU,56,0,0.0360023,-0.0810002,-0.0169623,-0.00551052
CEU,57,0,0.0387137,-0.0771957,-0.0131842,-0.00405801
CEU,61,0,0.0381343,-0.0795021,-0.0152156,-0.00634747
CEU,62,0,0.0375069,-0.0796985,-0.016894,-0.00686054
CEU,65,0,0.03894,-0.079737,-0.0155628,-0.00704652
CEU,66,0,0.0359753,-0.0805484,-0.0130951,-0.00508543
CEU,67,0,0.0381414,-0.0818006,-0.0165177,-0.00680608
CEU,68,0,0.0379747,-0.0808658,-0.0151147,-0.00629982
CEU,69,0,0.03667,-0.0813976,-0.0181353,-0.0048812
CEU,71,0,0.0389265,-0.0827799,-0.0168766,-0.00598039
CEU,72,0,0.0377254,-0.0787484,-0.0152952,-0.00462438
CEU,73,0,0.0384455,-0.0805526,-0.0174887,-0.0068132
CEU,74,0,0.0386966,-0.0824332,-0.0153559,-0.00660889
CEU,77,0,0.03611,-0.0811532,-0.0176006,-0.00500504
CEU,81,0,0.037227,-0.0802327,-0.0153196,-0.00671827
CEU,82,0,0.0403407,-0.0787069,-0.0172563,-0.00463645
CEU,83,0,0.0377189,-0.0801263,-0.0142409,-0.00669635
CEU,84,0,0.0364167,-0.0800553,-0.0193355,-0.00636989
CEU,85,0,0.0378296,-0.0792413,-0.0155259,-0.00524836
CEU,86,0,0.0377286,-0.0796324,-0.0163853,-0.00449808
CEU,87,0,0.0372288,-0.0799896,-0.0185578,-0.00771166
CEU,88,0,0.0376956,-0.0792981,-0.0151867,-0.00668428
CEU,89,0,0.0383351,-0.0794481,-0.0174945,-0.00603221
CEU,91,0,0.0378885,-0.0793614,-0.0169861,-0.00849156
CEU,93,0,0.0369778,-0.0781626,-0.0173664,-0.00665886
CEU,95,0,0.0399001,-0.0794099,-0.0175585,-0.00795139
CEU,97,0,0.0376086,-0.0800328,-0.0156428,-0.00747928
CEU,98,0,0.0380145,-0.0813772,-0.0181114,-0.00594236
CEU,99,0,0.0358943,-0.0807261,-0.0163782,-0.00498701
